Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,age,total_children,total_spending,total_purchases,meat_share,fruit_share,fish_share,sweet_share,gold_share,deals_share,web_share,catalog_share,store_share,Customer_Days
Graduation,Single,58138.0,58,3,7,0,58,0,1617,25,0.33766233766233766,0.05442176870748299,0.10636982065553494,0.05442176870748299,0.05442176870748299,0.12,0.32,0.4,0.16,663
Graduation,Single,46344.0,38,2,5,0,61,2,27,6,0.2222222222222222,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,113
Graduation,Together,71613.0,26,1,4,0,50,0,776,21,0.163659793814433,0.06314432989690721,0.14304123711340205,0.027061855670103094,0.05412371134020619,0.047619047619047616,0.38095238095238093,0.09523809523809523,0.47619047619047616,312
Graduation,Together,26646.0,26,2,6,0,31,1,53,8,0.37735849056603776,0.07547169811320754,0.18867924528301888,0.05660377358490566,0.09433962264150944,0.25,0.25,0.0,0.5,139
PhD,Married,58293.0,94,5,5,0,34,1,422,19,0.2796208530805687,0.1018957345971564,0.10900473933649289,0.06398104265402843,0.035545023696682464,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.3157894736842105,161
Master,Together,62513.0,16,2,6,0,48,1,716,22,0.13687150837988826,0.05865921787709497,0.0,0.05865921787709497,0.019553072625698324,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,293
Graduation,Divorced,55635.0,34,4,6,0,44,1,590,21,0.27796610169491526,0.11016949152542373,0.0847457627118644,0.08305084745762711,0.04576271186440678,0.19047619047619047,0.3333333333333333,0.14285714285714285,0.3333333333333333,593
PhD,Married,33454.0,32,2,8,0,30,1,169,10,0.33136094674556216,0.05917159763313609,0.01775147928994083,0.005917159763313609,0.13609467455621302,0.2,0.4,0.0,0.4,417
PhD,Together,30351.0,19,1,9,0,41,1,46,6,0.5217391304347826,0.0,0.06521739130434782,0.06521739130434782,0.043478260869565216,0.16666666666666666,0.5,0.0,0.3333333333333333,388
PhD,Together,5648.0,68,1,20,0,65,2,49,2,0.12244897959183673,0.0,0.02040816326530612,0.02040816326530612,0.2653061224489796,0.5,0.5,0.0,0.0,108
Basic,Married,7500.0,59,1,8,0,39,0,61,6,0.18032786885245902,0.26229508196721313,0.18032786885245902,0.01639344262295082,0.26229508196721313,0.16666666666666666,0.3333333333333333,0.0,0.5,593
Graduation,Divorced,63033.0,82,1,2,0,56,0,1102,16,0.4355716878402904,0.05535390199637023,0.20417422867513613,0.10163339382940109,0.02722323049001815,0.0625,0.1875,0.25,0.5,226
Master,Divorced,59354.0,53,3,6,0,63,2,310,15,0.17096774193548386,0.0064516129032258064,0.00967741935483871,0.016129032258064516,0.04516129032258064,0.2,0.4,0.06666666666666667,0.3333333333333333,226
Graduation,Married,17323.0,38,1,8,0,28,0,46,5,0.3695652173913043,0.30434782608695654,0.13043478260869565,0.021739130434782608,0.10869565217391304,0.2,0.2,0.0,0.6,627
PhD,Single,82800.0,23,1,3,0,69,0,1315,26,0.08745247148288973,0.016730038022813688,0.044866920152091254,0.05171102661596958,0.034220532319391636,0.038461538461538464,0.2692307692307692,0.23076923076923078,0.46153846153846156,582
Graduation,Married,41850.0,51,3,8,0,35,2,96,9,0.19791666666666666,0.052083333333333336,0.020833333333333332,0.13541666666666666,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,552
Graduation,Together,37760.0,20,2,7,0,69,0,317,13,0.11987381703470032,0.015772870662460567,0.47318611987381703,0.03785488958990536,0.08832807570977919,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.46153846153846156,667
Master,Married,76995.0,91,2,5,0,66,1,1782,26,0.27946127946127947,0.04489337822671156,0.0,0.008978675645342313,0.09876543209876543,0.07692307692307693,0.4230769230769231,0.15384615384615385,0.34615384615384615,458
2n Cycle,Single,33812.0,86,2,6,0,30,1,133,8,0.14285714285714285,0.12781954887218044,0.22556390977443608,0.18045112781954886,0.2932330827067669,0.25,0.25,0.125,0.375,603
